model	imgsz	batch	fraction	elapsed_sec	inference_ms	fps	mAP50	mAP50_95	precision	recall	error
yolo12n.pt	640	8	0.2	23.6	1.896	527.43	0.0982	0.0267	0.1469	0.1535	
yolo12n.pt	640	12	0.2	22.5	1.986	503.59	0.0982	0.0267	0.1468	0.1534	
yolo12n.pt	768	12	0.2	25.2	2.998	333.6	0.0972	0.0261	0.1431	0.1622	
yolo12n.pt	768	8	0.2	23.8	3.05	327.89	0.0973	0.0261	0.1432	0.1623	
yolo12s.pt	640	8	0.2	24.0	3.756	266.22	0.0906	0.024	0.1359	0.1513	
yolo12s.pt	640	12	0.2	23.8	3.827	261.3	0.0906	0.024	0.1359	0.1513	
yolo12s.pt	768	8	0.2	26.3	6.747	148.22	0.0893	0.0239	0.634	0.1573	
yolo12s.pt	768	12	0.2	27.0	6.816	146.71	0.0892	0.0239	0.634	0.1572	
